age,gender,occupation,daily_screen_time_hours,opens_per_day,sleep_hours,bedtime_delay_minutes,productivity_loss_hours,focus_rating,anxiety_level,loneliness_level,self_comparison_score,mood_after_use,reels_usage_percent,addiction_level
22,Female,Student,3.5,52,6.7,59,2.3,5.6,5.3,2.8,4.2,Negative,43,Moderate
18,Female,Working Professional,3.7,44,6.7,18,1.8,3.7,7.1,5.8,3.3,Positive,61,Moderate
27,Male,Working Professional,4.9,68,5.4,39,3.2,5.2,6.1,5.3,6.9,Positive,72,Moderate
17,Female,Student,3.4,47,7.8,54,2.0,7.4,3.6,4.9,2.6,Positive,23,Moderate
21,Other,Student,0.6,6,6.0,7,0.4,10.0,2.6,3.0,2.7,Negative,72,Low
23,Other,Working Professional,2.1,33,5.9,35,1.6,7.2,5.0,4.7,4.3,Neutral,52,Low
26,Male,Student,4.1,65,5.7,65,3.4,4.4,7.7,5.1,4.8,Positive,56,Moderate
18,Female,Student,1.7,17,7.2,8,0.9,7.4,4.9,2.7,3.4,Neutral,70,Low
22,Male,Student,9.2,101,4.3,82,4.1,2.3,10.0,8.6,9.3,Neutral,85,High
25,Male,Student,5.4,70,6.8,86,4.2,6.0,7.7,6.0,7.0,Negative,20,Moderate
24,Other,Student,2.1,27,5.8,25,1.3,9.8,3.9,2.8,2.6,Neutral,78,Low
21,Female,Working Professional,5.0,55,4.8,25,1.7,4.2,5.8,7.1,7.0,Positive,75,Moderate
16,Female,Working Professional,3.7,29,6.2,18,1.6,6.3,3.9,6.1,5.6,Negative,36,Moderate
21,Other,Student,7.0,91,4.5,70,4.4,2.0,8.2,7.7,7.3,Negative,78,High
19,Male,Working Professional,4.5,45,5.8,36,3.1,6.0,5.1,6.2,5.4,Negative,20,Moderate
26,Female,Working Professional,3.1,43,6.1,43,1.4,7.9,5.9,5.8,6.8,Negative,21,Moderate
16,Other,Working Professional,5.0,80,6.6,65,2.5,5.5,7.4,6.3,6.3,Neutral,43,Moderate
19,Other,Working Professional,4.9,49,6.7,63,3.4,7.0,7.6,4.7,6.6,Positive,52,Moderate
19,Male,Working Professional,3.1,34,5.5,37,2.1,7.3,6.5,3.6,4.4,Positive,41,Moderate
29,Other,Student,5.1,51,6.0,51,4.3,3.0,5.8,7.4,7.3,Positive,88,Moderate
27,Female,Working Professional,2.8,28,7.2,14,0.9,7.2,5.1,4.8,3.7,Positive,56,Low
23,Other,Student,5.6,56,4.3,89,4.5,3.6,5.3,6.0,7.4,Negative,37,Moderate
24,Female,Student,6.5,65,5.4,78,2.2,4.1,6.9,5.9,6.6,Negative,21,High
25,Female,Student,6.1,79,6.6,67,2.9,4.4,8.9,7.4,10.0,Negative,64,High
19,Other,Working Professional,6.9,69,6.4,75,2.2,1.5,10.0,6.3,8.9,Neutral,77,High
29,Other,Working Professional,5.7,74,4.6,28,1.8,3.8,9.3,6.6,5.6,Neutral,72,Moderate
27,Other,Working Professional,5.5,60,4.9,55,1.8,6.9,10.0,7.8,7.3,Positive,32,Moderate
17,Other,Working Professional,0.9,7,7.0,10,0.4,8.3,2.7,3.2,3.2,Negative,20,Low
25,Female,Student,4.3,55,6.8,55,3.0,6.1,8.8,4.1,7.2,Negative,45,Moderate
18,Male,Working Professional,4.1,69,7.7,57,2.4,4.6,5.9,3.3,3.9,Positive,29,Moderate
21,Other,Working Professional,3.7,62,6.4,51,3.2,9.5,5.8,5.9,6.4,Neutral,21,Moderate
16,Female,Student,5.1,56,6.7,61,3.6,3.9,7.4,6.6,6.6,Negative,31,Moderate
18,Male,Working Professional,5.4,48,6.8,91,1.9,4.1,7.7,7.2,5.9,Negative,53,Moderate
18,Other,Working Professional,3.4,40,6.0,20,2.3,7.0,6.3,4.1,5.4,Negative,29,Moderate
20,Female,Working Professional,5.8,46,6.3,40,3.2,5.5,6.9,7.2,6.5,Neutral,56,Moderate
27,Male,Student,7.3,116,5.2,51,2.6,2.7,10.0,7.3,9.0,Negative,78,High
18,Male,Student,5.1,56,5.9,35,3.0,6.0,10.0,5.7,6.3,Positive,72,Moderate
25,Male,Student,7.8,124,5.8,109,6.3,2.3,9.9,6.8,8.1,Negative,28,High
17,Male,Student,1.7,25,6.7,28,0.9,7.6,3.4,3.7,4.5,Negative,93,Low
25,Other,Working Professional,3.2,28,4.9,51,2.1,7.7,6.4,5.1,5.1,Negative,22,Moderate
28,Female,Working Professional,3.5,28,5.2,45,2.9,6.7,5.5,4.9,3.9,Positive,39,Moderate
24,Female,Student,8.6,68,5.6,77,6.2,2.8,9.5,8.7,8.6,Neutral,43,High
27,Female,Student,2.7,29,6.1,37,1.4,6.5,3.4,2.8,3.2,Neutral,46,Low
21,Other,Student,7.6,76,4.3,129,6.6,4.1,7.0,8.2,9.4,Neutral,24,High
22,Female,Working Professional,7.0,63,5.2,35,3.7,2.4,10.0,7.9,9.0,Positive,52,High
17,Other,Working Professional,5.1,61,7.5,51,4.3,6.5,8.0,5.4,7.4,Positive,92,Moderate
29,Male,Student,3.0,33,5.7,15,2.1,5.5,6.9,4.7,3.5,Negative,53,Moderate
21,Male,Student,4.7,37,7.3,47,4.1,4.7,10.0,7.2,5.3,Neutral,33,Moderate
17,Female,Student,4.9,44,6.1,29,3.3,4.2,7.1,6.3,7.6,Neutral,49,Moderate
22,Male,Working Professional,7.9,86,5.6,110,6.8,1.0,9.8,8.7,8.6,Negative,72,High
17,Other,Working Professional,6.5,65,4.5,84,3.7,1.7,10.0,6.3,7.9,Negative,23,High
23,Female,Working Professional,6.3,56,5.6,107,2.6,2.9,7.5,5.6,7.0,Negative,53,High
16,Other,Working Professional,8.0,128,5.4,112,6.2,1.3,10.0,8.3,8.5,Positive,20,High
23,Female,Working Professional,3.2,48,6.8,32,1.4,7.0,7.6,4.3,4.5,Neutral,78,Moderate
23,Male,Working Professional,5.2,72,5.3,78,3.2,4.7,5.8,4.6,6.4,Neutral,47,Moderate
25,Female,Student,6.6,85,5.9,92,4.1,2.7,6.8,5.1,7.0,Neutral,37,High
19,Other,Working Professional,8.8,132,6.1,105,4.9,1.0,9.8,10.0,8.1,Neutral,78,High
23,Female,Student,0.8,12,6.8,4,0.2,8.6,0.9,3.8,2.2,Neutral,81,Low
29,Male,Working Professional,5.9,76,5.9,59,2.7,4.6,6.4,6.8,7.6,Negative,27,Moderate
25,Female,Working Professional,6.2,80,5.2,86,3.1,4.1,4.1,6.5,6.8,Positive,33,High
21,Male,Working Professional,2.4,26,6.7,40,1.5,7.5,3.8,3.3,4.4,Negative,92,Low
16,Male,Student,4.4,57,5.3,48,3.4,5.0,8.7,5.0,4.2,Neutral,20,Moderate
23,Other,Student,5.5,66,6.3,88,2.2,4.9,6.9,6.7,8.5,Positive,23,Moderate
24,Other,Working Professional,4.0,60,7.0,48,2.3,5.3,2.7,6.3,4.3,Positive,34,Moderate
16,Male,Student,5.1,71,5.8,30,3.2,5.1,8.3,4.6,7.2,Positive,83,Moderate
19,Male,Working Professional,5.4,59,6.9,59,3.5,5.6,8.5,6.0,5.9,Positive,85,Moderate
25,Female,Student,7.5,97,5.5,75,4.7,1.7,6.2,8.1,10.0,Negative,27,High
20,Female,Student,0.5,4,6.6,7,0.3,9.9,5.3,1.6,0.7,Neutral,30,Low
29,Male,Student,4.8,72,6.7,52,2.8,5.4,10.0,5.6,5.9,Positive,79,Moderate
26,Male,Working Professional,4.7,51,6.6,42,4.0,4.5,7.4,7.6,7.1,Negative,70,Moderate
28,Female,Student,3.4,37,5.9,34,2.7,5.4,3.8,5.3,3.2,Negative,66,Moderate
24,Other,Working Professional,3.1,49,6.9,27,2.1,6.7,3.7,2.9,1.5,Positive,36,Moderate
26,Female,Student,5.3,58,4.7,53,1.7,5.7,6.3,5.3,5.5,Negative,68,Moderate
22,Female,Student,4.4,48,6.5,44,3.6,4.3,6.6,4.5,4.3,Positive,70,Moderate
26,Male,Student,3.5,28,7.2,59,1.8,6.8,7.2,5.8,3.6,Neutral,85,Moderate
21,Female,Working Professional,0.8,10,5.8,5,0.3,9.5,2.4,2.5,2.7,Neutral,93,Low
18,Other,Working Professional,2.5,35,7.9,27,1.0,8.4,6.4,4.7,2.6,Positive,91,Low
21,Other,Working Professional,6.0,60,4.3,30,3.8,4.9,8.9,6.8,7.0,Neutral,65,High
26,Female,Student,4.0,56,5.4,24,1.2,4.3,8.6,4.0,4.3,Positive,21,Moderate
18,Female,Working Professional,1.7,20,7.1,15,0.9,6.2,6.2,3.6,2.9,Positive,43,Low
16,Other,Student,4.4,61,7.0,22,2.6,7.3,6.5,4.7,7.1,Negative,92,Moderate
21,Male,Working Professional,2.7,45,7.9,37,2.3,8.4,6.4,4.3,5.2,Positive,61,Low
19,Other,Student,3.1,37,6.4,40,1.9,6.3,5.6,4.1,3.6,Neutral,50,Moderate
21,Other,Student,2.9,46,7.1,26,1.2,6.9,6.1,4.7,1.7,Positive,83,Low
17,Female,Student,5.4,54,5.3,48,3.6,4.0,5.3,5.4,5.0,Positive,78,Moderate
22,Other,Student,5.5,77,6.0,66,4.7,3.6,8.6,5.8,6.6,Neutral,81,Moderate
26,Other,Working Professional,1.5,25,7.5,9,0.5,8.7,3.0,5.2,2.8,Positive,61,Low
24,Other,Student,5.8,69,5.4,92,4.2,4.8,5.4,5.9,6.5,Negative,68,Moderate
28,Female,Working Professional,5.7,45,6.7,91,3.6,4.7,8.6,7.1,7.7,Neutral,89,Moderate
23,Male,Working Professional,4.4,74,4.8,57,3.8,6.4,6.6,6.0,5.2,Negative,78,Moderate
22,Other,Working Professional,5.7,62,6.5,62,3.3,6.5,8.2,5.3,8.0,Neutral,79,Moderate
28,Male,Student,4.9,73,5.6,68,3.6,4.9,6.2,7.4,6.1,Positive,44,Moderate
28,Other,Student,6.1,103,6.0,97,2.7,4.6,8.2,8.1,6.3,Positive,81,High
20,Male,Working Professional,9.2,147,4.6,128,3.3,1.1,8.1,7.5,9.5,Positive,87,High
17,Male,Student,1.0,15,5.8,8,0.4,8.8,1.8,5.1,1.7,Neutral,44,Low
22,Female,Student,4.8,57,6.4,33,2.9,4.6,6.0,5.2,5.3,Positive,22,Moderate
23,Male,Student,3.6,50,6.1,18,2.2,7.0,9.3,5.0,3.0,Negative,81,Moderate
16,Female,Student,5.1,66,5.7,86,2.2,7.3,8.5,5.2,6.3,Neutral,75,Moderate
18,Female,Student,4.2,42,4.8,54,3.4,5.7,5.9,5.5,5.5,Neutral,57,Moderate
23,Other,Working Professional,4.1,36,6.3,41,3.6,5.9,7.6,5.4,6.1,Neutral,59,Moderate
17,Other,Working Professional,6.5,52,5.8,65,4.0,3.1,9.3,6.9,7.1,Positive,32,High
26,Other,Working Professional,5.1,71,5.5,45,4.2,4.7,7.3,7.3,5.3,Positive,50,Moderate
17,Other,Working Professional,5.3,74,6.3,31,2.5,4.9,7.4,4.9,7.0,Neutral,79,Moderate
23,Female,Student,4.1,41,6.3,45,2.6,5.8,6.5,5.9,5.4,Negative,41,Moderate
19,Female,Working Professional,5.4,59,5.4,81,2.2,5.4,8.9,5.6,6.3,Neutral,69,Moderate
29,Other,Working Professional,3.5,49,6.6,59,1.1,6.4,2.4,5.5,5.7,Neutral,45,Moderate
17,Other,Student,1.9,26,4.9,20,1.5,8.9,3.2,2.8,3.9,Positive,94,Low
26,Other,Student,1.2,20,6.3,19,0.9,8.0,4.2,3.4,3.3,Negative,37,Low
27,Female,Working Professional,5.4,86,5.9,27,1.9,4.4,5.6,5.9,6.4,Neutral,83,Moderate
27,Other,Working Professional,6.7,107,6.1,73,2.5,2.6,10.0,7.3,6.1,Neutral,82,High
21,Female,Working Professional,1.6,24,7.1,19,0.8,8.1,3.6,3.1,2.3,Neutral,57,Low
26,Female,Working Professional,5.9,76,6.2,76,1.9,3.1,7.8,6.7,5.7,Positive,39,Moderate
16,Male,Working Professional,4.1,32,6.2,24,2.5,5.4,7.7,5.9,4.2,Neutral,34,Moderate
17,Female,Student,4.7,70,5.8,70,1.8,5.5,8.0,7.2,7.3,Positive,60,Moderate
17,Female,Student,6.8,95,6.1,102,5.7,4.5,9.1,9.5,6.9,Negative,60,High
27,Other,Working Professional,3.8,49,6.4,60,1.7,5.2,5.0,5.7,6.0,Positive,70,Moderate
27,Female,Working Professional,7.6,98,5.8,68,6.8,2.4,9.8,8.7,7.3,Negative,73,High
16,Male,Working Professional,3.9,46,6.5,54,2.9,4.2,4.5,3.6,7.0,Positive,85,Moderate
17,Female,Working Professional,5.6,56,6.8,39,2.6,3.1,5.3,7.7,6.4,Negative,45,Moderate
23,Other,Student,7.5,127,4.3,120,3.9,1.0,10.0,7.9,7.5,Neutral,79,High
28,Female,Working Professional,5.9,94,3.5,47,3.9,3.7,6.2,5.4,8.0,Positive,59,Moderate
27,Other,Working Professional,1.7,17,6.4,17,0.7,6.2,4.1,3.1,4.3,Negative,39,Low
23,Female,Student,7.2,93,6.2,57,3.8,1.2,10.0,9.3,8.2,Negative,63,High
23,Male,Student,6.4,70,5.9,38,5.7,3.3,7.7,7.3,6.8,Negative,54,High
21,Other,Student,4.8,81,5.3,38,4.3,5.3,7.5,5.7,6.9,Negative,62,Moderate
17,Other,Student,5.3,74,4.3,90,2.0,4.8,7.5,5.8,5.8,Positive,27,Moderate
28,Other,Working Professional,6.4,83,5.6,38,4.5,3.5,8.7,7.3,7.4,Neutral,91,High
24,Male,Working Professional,6.5,65,6.6,58,4.6,1.6,9.9,7.5,6.2,Positive,82,High
24,Male,Working Professional,3.9,62,6.4,58,3.2,4.4,4.5,6.2,5.6,Negative,32,Moderate
24,Female,Working Professional,5.9,47,5.5,70,2.8,2.8,9.6,8.1,8.4,Positive,34,Moderate
20,Female,Student,6.1,48,4.1,30,3.8,3.6,8.0,5.7,7.3,Positive,93,High
17,Female,Working Professional,0.5,8,6.4,6,0.3,9.0,2.5,1.2,0.4,Negative,67,Low
20,Male,Student,4.2,58,4.9,42,3.1,6.0,8.9,5.1,6.5,Neutral,66,Moderate
20,Male,Student,4.0,40,6.5,32,3.4,5.2,5.6,3.5,5.0,Neutral,71,Moderate
29,Male,Student,6.2,62,5.3,74,3.0,5.3,9.4,6.4,5.5,Negative,94,High
22,Female,Student,2.8,39,6.9,33,2.2,6.4,4.6,3.8,5.2,Neutral,64,Low
25,Male,Working Professional,4.9,78,7.8,68,2.1,3.7,9.5,4.7,5.2,Neutral,56,Moderate
19,Other,Student,5.9,82,5.4,82,4.6,3.5,8.5,5.6,6.6,Negative,68,Moderate
18,Male,Working Professional,4.4,52,7.0,22,1.8,4.5,5.3,6.1,4.3,Positive,92,Moderate
29,Other,Working Professional,3.5,56,6.4,21,1.6,8.2,6.9,2.9,2.7,Positive,60,Moderate
16,Male,Student,5.2,67,6.9,72,4.4,4.1,8.5,7.3,7.9,Positive,92,Moderate
23,Other,Working Professional,1.9,26,5.6,15,1.1,8.6,5.3,3.7,2.6,Neutral,27,Low
21,Other,Student,7.5,127,6.2,52,3.1,2.4,8.7,6.0,7.6,Positive,41,High
27,Other,Working Professional,6.9,96,6.2,96,2.5,4.7,8.4,8.8,6.5,Neutral,22,High
29,Male,Working Professional,3.5,52,5.2,35,3.1,6.6,6.7,4.9,5.9,Negative,89,Moderate
21,Female,Student,4.8,38,5.8,43,3.8,5.9,8.2,5.1,4.5,Neutral,21,Moderate
26,Female,Student,4.6,46,4.8,36,2.2,5.8,5.8,7.4,7.5,Neutral,31,Moderate
16,Male,Working Professional,4.6,46,6.0,55,2.8,4.7,7.3,6.3,5.1,Neutral,34,Moderate
